order_id,date,customer_id,product,quantity,price,region,sales_rep,total
ORD-202302-002,2023-02-07,CUST-1050,Nimbus Portable Speaker,2,89.5,South,Diego Ramirez,179
ORD-202303-003,2023-03-22,CUST-1123,PulseSmart Fitness Band,1,59.99,East,Amina Khan,59.99
ORD-202304-004,2023-04-11,CUST-1188,LumaSmart LED Bulb Pack,5,24.75,West,Chen Wei,123.75
ORD-202305-005,2023-05-19,CUST-1322,Aurora Wireless Headphones,4,129.99,North,Maya Chen,519.96
ORD-202306-006,2023-06-03,CUST-1407,Nimbus Portable Speaker,1,89.5,South,Diego Ramirez,89.5
ORD-202307-007,2023-07-28,CUST-1550,PulseSmart Fitness Band,2,59.99,East,Amina Khan,119.98
ORD-202308-008,2023-08-14,CUST-1644,LumaSmart LED Bulb Pack,3,24.75,West,Chen Wei,74.25
ORD-202309-009,2023-09-09,CUST-1702,Aurora Wireless Headphones,2,129.99,North,Maya Chen,259.98
ORD-202310-010,2023-10-31,CUST-1899,Nimbus Portable Speaker,6,89.5,South,Diego Ramirez,537
ORD-1001,2023-01-15,CUST-501,Wireless Headphones,4,89.99,North,Alex Martinez,359.96
ORD-1002,2023-02-03,CUST-214,Smartwatch,2,199.5,South,Priya Kapoor,399
ORD-1003,2023-02-28,CUST-389,Bluetooth Speaker,6,59.95,East,Jonah Patel,359.7
ORD-1004,2023-03-12,CUST-102,Portable Charger,3,24.99,West,Maria Rossi,74.97
ORD-1005,2023-04-06,CUST-764,USB-C Cable,5,9.99,North,Liam Chen,49.95
ORD-1006,2023-04-22,CUST-431,Wireless Mouse,2,34.5,South,Emma García,69
ORD-1007,2023-05-19,CUST-112,External Hard Drive 1TB,1,79.99,East,Daniel Kim,79.99
ORD-1008,2023-06-07,CUST- wildly,Gaming Keyboard,2,129.99,West,Sofia Rossi,259.98
ORD-1009,2023-07-25,CUST-323,4K Monitor 27-inch,1,349,North,Carlos Mendes,349
ORD-1010,2023-08-30,CUST-907,Noise-Cancelling Earbuds,3,149.99,South,Ava Johansson,449.97
ORD-100001,2023-01-15,CUST-501,Aurora Wireless Headphones,3,129.99,North,Mira Patel,389.97
ORD-100002,2023-02-03,CUST-214,Nimbus Bluetooth Speaker,2,89.5,South,Jon Rivera,179
ORD-100003,2023-03-22,CUST-842,Glacier Smartwatch,1,199,East,Amina Khoury,199
ORD-100004,2023-04-11,CUST-129,Pulse Fitness Band,4,59.99,West,Liam Chen,239.96
ORD-100005,2023-05-30,CUST-367,Vivid Action Camera,2,299,North,Sophie Martin,598
ORD-100006,2023-06-18,CUST-920,Zenbook Ultrabook 13,1,999,South,Carlos Mendes,999
ORD-100007,2023-07-09,CUST-411,Quattro Gaming Mouse,5,49.99,East,Nora Griffith,249.95
ORD-100008,2023-08-27,CUST-688,"Luma 4K Monitor 27""",2,389,West,Priya Singh,778
ORD-100009,2023-09-14,CUST-233,Nebula SSD 1TB,3,149,North,Omar Alvi,447
ORD-100010,2023-12-02,CUST-560,EchoSmart Speaker,6,99,South,Grace Kim,594
ORD-847210,2023-03-12,CUST-733,Aurora Wireless Headphones,3,129.99,North,Jamie Kim,389.97
ORD-492611,2023-05-28,CUST-512,Nimbus Pro Keyboard,2,89.5,West,Liam Chen,179
ORD-905134,2023-11-04,CUST-241,PulseFit Fitness Tracker,1,149,East,Priya Singh,149
ORD-176320,2023-01-19,CUST-128,VividSmart Speaker,4,74.25,South,Maria Rossi,297
ORD-664751,2023-08-22,CUST-360,Aurora Wireless Headphones,2,129.99,North,Alex Garcia,259.98
ORD-308912,2023-04-05,CUST-912,Nimbus Pro Keyboard,5,89.5,West,Zoe Patel,447.5
ORD-521908,2023-12-13,CUST-457,Nova Gaming Mouse,3,59.99,East,Daniel Kim,179.97
ORD-193708,2023-07-29,CUST-804,PulseFit Fitness Tracker,2,149,South,Grace Lee,298
ORD-860473,2023-02-17,CUST-310,Nova Gaming Mouse,1,59.99,West,Noah Park,59.99
ORD-274615,2023-09-03,CUST-623,VividSmart Speaker,6,74.25,North,Sofia Russo,445.5
ORD-202301-0001,2023-01-15,CUST-0087,Aurora Wireless Earbuds,3,129.99,North,Mia Chen,389.97
ORD-202302-0042,2023-02-08,CUST-0134,Nimbus Pro Keyboard,2,89.5,South,Liam Patel,179
ORD-202303-0098,2023-03-23,CUST-0421,"Zenith Compact Monitor 24""",1,199.99,East,Sophia Rossi,199.99
ORD-202304-0010,2023-04-11,CUST-0756,Pulse Fitness Tracker,4,59.99,West,Noah Kim,239.96
ORD-202305-0123,2023-05-19,CUST-0999,Luma Smart Lamp,2,44.95,North,Ava Singh,89.9
ORD-202306-0048,2023-06-02,CUST-0342,AeroNoise Headphones,2,149.99,South,Ethan Garcia,299.98
ORD-202307-0105,2023-07-28,CUST-0778,Voyager Portable Speaker,3,79.5,East,Olivia Chen,238.5
ORD-202308-0033,2023-08-16,CUST-0221,Nova Gaming Mouse,1,39.99,West,Daniel Park,39.99
ORD-202309-0074,2023-09-09,CUST-0567,Quark USB-C Hub,5,24.99,North,Isabella Rossi,124.95
ORD-202310-0056,2023-10-31,CUST-0888,Terra External SSD 1TB,2,119.99,South,Lucas Rivera,239.98
ORD-102301,2023-01-15,CUST-501,Aurora Wireless Headphones,3,129.99,North,Maria Chen,389.97
ORD-102302,2023-01-22,CUST-214,Boreal USB-C Adapter,2,19.5,South,Liam Patel,39
ORD-102303,2023-02-05,CUST-078,Nimbus Portable Speaker,1,89,East,Sophia Ruiz,89
ORD-102304,2023-02-18,CUST-341,Luma Smart Bulb Pack,4,24.99,West,Ethan Kim,99.96
ORD-102305,2023-03-03,CUST-892,Aero Fitness Tracker,2,149,North,Priya Singh,298
ORD-102306,2023-03-15,CUST-506,Pulse Pro Gaming Mouse,1,59.99,South,Daniel Garcia,59.99
ORD-102307,2023-04-10,CUST-177,Quanta Wireless Keyboard,3,74.5,East,Ana Martinez,223.5
ORD-102308,2023-04-28,CUST-309,Vivid HDMI Cable 2m,5,9.99,West,Oliver Brown,49.95
ORD-102309,2023-05-12,CUST-626,Zenith Smartphone Stand,2,14.5,North,Grace Lee,29
ORD-102310,2023-06-01,CUST-911,Nova Portable Charger 10000mAh,2,29.99,South,Victor Alvarez,59.98
ORD-102311,2023-07-19,CUST-234,Echo Night Lamp,3,34,East,Chloe Nguyen,102
ORD-102312,2023-08-24,CUST-468,Crest Stainless Steel Bottle,1,18.75,West,Mason Clark,18.75
ORD-1001,2023-01-15,CUST-017,Aurora Wireless Headphones,3,129.99,North,Jesse Morales,389.97
ORD-1002,2023-02-03,CUST-042,Nimbus Keyboard,2,89.5,South,Priya Kapoor,179
ORD-1003,2023-03-21,CUST-113,Luma 4K Monitor 27inch,5,299.99,East,Marco Rossi,1499.95
ORD-1004,2023-04-07,CUST-205,Pulse Gaming Mouse,1,49.99,West,Ana Oliveira,49.99
ORD-1005,2023-05-19,CUST-301,Vivid USB-C Dock,4,74.25,North,Liam Chen,297
ORD-1006,2023-06-11,CUST-422,ZenBook Compact Laptop,2,999,South,Nina Patel,1998
ORD-1007,2023-07-28,CUST-518,Aurora Wireless Headphones,2,129.99,East,Omar Haddad,259.98
ORD-1008,2023-08-14,CUST-613,Nimbus Keyboard,3,109,West,Grace Kim,327
ORD-1009,2023-09-05,CUST-729,Luma 4K Monitor 27inch,1,279.99,North,Carlos Mendes,279.99
ORD-1010,2023-10-22,CUST-845,Pulse Gaming Mouse,6,49.99,South,Priya Kapoor,299.94
ORD-1001,2023-01-15,CUST-9001,UltraFlex Widget,3,129.99,North,Alex Rivera,389.97
ORD-1002,2023-01-22,CUST-9042,NovaPro Cable,2,24.5,South,Priya Sharma,49
ORD-1003,2023-02-05,CUST-8675,AeroLite Headphones,1,89,East,Luis Martinez,89
ORD-1004,2023-02-19,CUST-9210,TerraCarry Backpack,4,59.75,West,Emma Chen,239
ORD-1005,2023-03-03,CUST-8342,PulseSmartwatch,2,199.99,North,Daniel Kim,399.98
ORD-1006,2023-03-18,CUST-7521,BrightSound Speaker,5,149.5,South,Nina Patel,747.5
ORD-1007,2023-04-11,CUST-6510,CosmoGlow Desk Lamp,3,39.95,East,Kai Nakamura,119.85
ORD-1008,2023-05-07,CUST-2897,ZenLite Keyboard,2,74.2,West,Rosa Rodriguez,148.4
ORD-920150,2023-01-08,CUST-4029,Aurora Headphones,4,119.99,North,Mina Patel,479.96
ORD-920151,2023-02-14,CUST-6731,Nimbus Wireless Mouse,2,29.5,South,Liam Chen,59
ORD-920152,2023-03-23,CUST-1256,Quanta Keyboard,1,89,East,Sofia Rossi,89
ORD-920153,2023-04-11,CUST-9803,Vega USB-C Hub,3,45.75,West,Jonah Kim,137.25
ORD-920154,2023-05-05,CUST-4417,Lumen SSD 1TB,2,129.99,North,Ava Singh,259.98
ORD-920155,2023-06-19,CUST-2109,Pulse Gaming Mouse,5,59.99,South,Diego Alvarez,299.95
ORD-920156,2023-07-30,CUST-5184,Quanta Mechanical Keyboard,1,139.5,East,Nina Kapoor,139.5
ORD-920157,2023-08-22,CUST-3042,Aurora Headphones,2,119.99,West,Marco Rossi,239.98
ORD-920158,2023-09-09,CUST-8120,Nimbus Wireless Mouse,3,29.5,North,Grace Park,88.5
ORD-920159,2023-11-17,CUST-6672,Lumen SSD 512GB,4,89.5,South,Omar Faris,358
ORD-102345,2023-01-12,CUST-80421,Aurora Wireless Headphones,2,129.99,North,Maya Singh,259.98
ORD-102346,2023-02-03,CUST-80422,Nimbus Smartwatch,1,199.5,South,Alex Kim,199.5
ORD-102347,2023-02-28,CUST-80423,PulseFit Fitness Band,3,59.99,East,Priya Patel,179.97
ORD-102348,2023-03-15,CUST-80424,Verve Bluetooth Speaker,4,89,West,Liam Chen,356
ORD-102349,2023-04-09,CUST-80425,AeroPro Laptop Sleeve,1,24.5,North,Sophia Martinez,24.5
ORD-102350,2023-05-21,CUST-80426,Nova USB-C Hub,2,44.75,South,Daniel Rodrigues,89.5
ORD-102351,2023-06-11,CUST-80427,ZenBook Keyboard,5,19.99,East,Emma Johnson,99.95
ORD-102352,2023-07-02,CUST-80428,Quanta Wireless Charger,1,29.99,West,Noah Williams,29.99
ORD-102353,2023-08-19,CUST-80429,Vivid Bluetooth Earbuds,2,149,North,Olivia Brown,298
ORD-102354,2023-09-07,CUST-80430,EchoSmart Home Hub,3,129,South,Ethan Rossi,387
ORD-202301-001,2023-01-15,CUST-1001,Aurora Wireless Headphones,3,129.99,North,Maya Chen,389.97
ORD-202302-002,2023-02-07,CUST-1050,Nimbus Portable Speaker,2,89.5,South,Diego Ramirez,179
ORD-202303-003,2023-03-22,CUST-1123,PulseSmart Fitness Band,1,59.99,East,Amina Khan,59.99
ORD-202304-004,2023-04-11,CUST-1188,LumaSmart LED Bulb Pack,5,24.75,West,Chen Wei,123.75
ORD-202305-005,2023-05-19,CUST-1322,Aurora Wireless Headphones,4,129.99,North,Maya Chen,519.96
ORD-202306-006,2023-06-03,CUST-1407,Nimbus Portable Speaker,1,89.5,South,Diego Ramirez,89.5
ORD-202307-007,2023-07-28,CUST-1550,PulseSmart Fitness Band,2,59.99,East,Amina Khan,119.98
ORD-202308-008,2023-08-14,CUST-1644,LumaSmart LED Bulb Pack,3,24.75,West,Chen Wei,74.25
ORD-202309-009,2023-09-09,CUST-1702,Aurora Wireless Headphones,2,129.99,North,Maya Chen,259.98
ORD-202310-010,2023-10-31,CUST-1899,Nimbus Portable Speaker,6,89.5,South,Diego Ramirez,537
ORD-1001,2023-01-15,CUST-501,Wireless Headphones,4,89.99,North,Alex Martinez,359.96
ORD-1002,2023-02-03,CUST-214,Smartwatch,2,199.5,South,Priya Kapoor,399
ORD-1003,2023-02-28,CUST-389,Bluetooth Speaker,6,59.95,East,Jonah Patel,359.7
ORD-1004,2023-03-12,CUST-102,Portable Charger,3,24.99,West,Maria Rossi,74.97
ORD-1005,2023-04-06,CUST-764,USB-C Cable,5,9.99,North,Liam Chen,49.95
ORD-1006,2023-04-22,CUST-431,Wireless Mouse,2,34.5,South,Emma García,69
ORD-1007,2023-05-19,CUST-112,External Hard Drive 1TB,1,79.99,East,Daniel Kim,79.99
ORD-1008,2023-06-07,CUST- wildly,Gaming Keyboard,2,129.99,West,Sofia Rossi,259.98
ORD-1009,2023-07-25,CUST-323,4K Monitor 27-inch,1,349,North,Carlos Mendes,349
ORD-1010,2023-08-30,CUST-907,Noise-Cancelling Earbuds,3,149.99,South,Ava Johansson,449.97
ORD-100001,2023-01-15,CUST-501,Aurora Wireless Headphones,3,129.99,North,Mira Patel,389.97
ORD-100002,2023-02-03,CUST-214,Nimbus Bluetooth Speaker,2,89.5,South,Jon Rivera,179
ORD-100003,2023-03-22,CUST-842,Glacier Smartwatch,1,199,East,Amina Khoury,199
ORD-100004,2023-04-11,CUST-129,Pulse Fitness Band,4,59.99,West,Liam Chen,239.96
ORD-100005,2023-05-30,CUST-367,Vivid Action Camera,2,299,North,Sophie Martin,598
ORD-100006,2023-06-18,CUST-920,Zenbook Ultrabook 13,1,999,South,Carlos Mendes,999
ORD-100007,2023-07-09,CUST-411,Quattro Gaming Mouse,5,49.99,East,Nora Griffith,249.95
ORD-100008,2023-08-27,CUST-688,"Luma 4K Monitor 27""",2,389,West,Priya Singh,778
ORD-100009,2023-09-14,CUST-233,Nebula SSD 1TB,3,149,North,Omar Alvi,447
ORD-100010,2023-12-02,CUST-560,EchoSmart Speaker,6,99,South,Grace Kim,594
ORD-847210,2023-03-12,CUST-733,Aurora Wireless Headphones,3,129.99,North,Jamie Kim,389.97
ORD-492611,2023-05-28,CUST-512,Nimbus Pro Keyboard,2,89.5,West,Liam Chen,179
ORD-905134,2023-11-04,CUST-241,PulseFit Fitness Tracker,1,149,East,Priya Singh,149
ORD-176320,2023-01-19,CUST-128,VividSmart Speaker,4,74.25,South,Maria Rossi,297
ORD-664751,2023-08-22,CUST-360,Aurora Wireless Headphones,2,129.99,North,Alex Garcia,259.98
ORD-308912,2023-04-05,CUST-912,Nimbus Pro Keyboard,5,89.5,West,Zoe Patel,447.5
ORD-521908,2023-12-13,CUST-457,Nova Gaming Mouse,3,59.99,East,Daniel Kim,179.97
ORD-193708,2023-07-29,CUST-804,PulseFit Fitness Tracker,2,149,South,Grace Lee,298
ORD-860473,2023-02-17,CUST-310,Nova Gaming Mouse,1,59.99,West,Noah Park,59.99
ORD-274615,2023-09-03,CUST-623,VividSmart Speaker,6,74.25,North,Sofia Russo,445.5
ORD-202301-0001,2023-01-15,CUST-0087,Aurora Wireless Earbuds,3,129.99,North,Mia Chen,389.97
ORD-202302-0042,2023-02-08,CUST-0134,Nimbus Pro Keyboard,2,89.5,South,Liam Patel,179
ORD-202303-0098,2023-03-23,CUST-0421,"Zenith Compact Monitor 24""",1,199.99,East,Sophia Rossi,199.99
ORD-202304-0010,2023-04-11,CUST-0756,Pulse Fitness Tracker,4,59.99,West,Noah Kim,239.96
ORD-202305-0123,2023-05-19,CUST-0999,Luma Smart Lamp,2,44.95,North,Ava Singh,89.9
ORD-202306-0048,2023-06-02,CUST-0342,AeroNoise Headphones,2,149.99,South,Ethan Garcia,299.98
ORD-202307-0105,2023-07-28,CUST-0778,Voyager Portable Speaker,3,79.5,East,Olivia Chen,238.5
ORD-202308-0033,2023-08-16,CUST-0221,Nova Gaming Mouse,1,39.99,West,Daniel Park,39.99
ORD-202309-0074,2023-09-09,CUST-0567,Quark USB-C Hub,5,24.99,North,Isabella Rossi,124.95
ORD-202310-0056,2023-10-31,CUST-0888,Terra External SSD 1TB,2,119.99,South,Lucas Rivera,239.98
ORD-102301,2023-01-15,CUST-501,Aurora Wireless Headphones,3,129.99,North,Maria Chen,389.97
ORD-102302,2023-01-22,CUST-214,Boreal USB-C Adapter,2,19.5,South,Liam Patel,39
ORD-102303,2023-02-05,CUST-078,Nimbus Portable Speaker,1,89,East,Sophia Ruiz,89
ORD-102304,2023-02-18,CUST-341,Luma Smart Bulb Pack,4,24.99,West,Ethan Kim,99.96
ORD-102305,2023-03-03,CUST-892,Aero Fitness Tracker,2,149,North,Priya Singh,298
ORD-102306,2023-03-15,CUST-506,Pulse Pro Gaming Mouse,1,59.99,South,Daniel Garcia,59.99
ORD-102307,2023-04-10,CUST-177,Quanta Wireless Keyboard,3,74.5,East,Ana Martinez,223.5
ORD-102308,2023-04-28,CUST-309,Vivid HDMI Cable 2m,5,9.99,West,Oliver Brown,49.95
ORD-102309,2023-05-12,CUST-626,Zenith Smartphone Stand,2,14.5,North,Grace Lee,29
ORD-102310,2023-06-01,CUST-911,Nova Portable Charger 10000mAh,2,29.99,South,Victor Alvarez,59.98
ORD-102311,2023-07-19,CUST-234,Echo Night Lamp,3,34,East,Chloe Nguyen,102
ORD-102312,2023-08-24,CUST-468,Crest Stainless Steel Bottle,1,18.75,West,Mason Clark,18.75
ORD-1001,2023-01-15,CUST-017,Aurora Wireless Headphones,3,129.99,North,Jesse Morales,389.97
ORD-1002,2023-02-03,CUST-042,Nimbus Keyboard,2,89.5,South,Priya Kapoor,179
ORD-1003,2023-03-21,CUST-113,Luma 4K Monitor 27inch,5,299.99,East,Marco Rossi,1499.95
ORD-1004,2023-04-07,CUST-205,Pulse Gaming Mouse,1,49.99,West,Ana Oliveira,49.99
ORD-1005,2023-05-19,CUST-301,Vivid USB-C Dock,4,74.25,North,Liam Chen,297
ORD-1006,2023-06-11,CUST-422,ZenBook Compact Laptop,2,999,South,Nina Patel,1998
ORD-1007,2023-07-28,CUST-518,Aurora Wireless Headphones,2,129.99,East,Omar Haddad,259.98
ORD-1008,2023-08-14,CUST-613,Nimbus Keyboard,3,109,West,Grace Kim,327
ORD-1009,2023-09-05,CUST-729,Luma 4K Monitor 27inch,1,279.99,North,Carlos Mendes,279.99
ORD-1010,2023-10-22,CUST-845,Pulse Gaming Mouse,6,49.99,South,Priya Kapoor,299.94
ORD-1001,2023-01-15,CUST-9001,UltraFlex Widget,3,129.99,North,Alex Rivera,389.97
ORD-1002,2023-01-22,CUST-9042,NovaPro Cable,2,24.5,South,Priya Sharma,49
ORD-1003,2023-02-05,CUST-8675,AeroLite Headphones,1,89,East,Luis Martinez,89
ORD-1004,2023-02-19,CUST-9210,TerraCarry Backpack,4,59.75,West,Emma Chen,239
ORD-1005,2023-03-03,CUST-8342,PulseSmartwatch,2,199.99,North,Daniel Kim,399.98
ORD-1006,2023-03-18,CUST-7521,BrightSound Speaker,5,149.5,South,Nina Patel,747.5
ORD-1007,2023-04-11,CUST-6510,CosmoGlow Desk Lamp,3,39.95,East,Kai Nakamura,119.85
ORD-1008,2023-05-07,CUST-2897,ZenLite Keyboard,2,74.2,West,Rosa Rodriguez,148.4
ORD-920150,2023-01-08,CUST-4029,Aurora Headphones,4,119.99,North,Mina Patel,479.96
ORD-920151,2023-02-14,CUST-6731,Nimbus Wireless Mouse,2,29.5,South,Liam Chen,59
ORD-920152,2023-03-23,CUST-1256,Quanta Keyboard,1,89,East,Sofia Rossi,89
ORD-920153,2023-04-11,CUST-9803,Vega USB-C Hub,3,45.75,West,Jonah Kim,137.25
ORD-920154,2023-05-05,CUST-4417,Lumen SSD 1TB,2,129.99,North,Ava Singh,259.98
ORD-920155,2023-06-19,CUST-2109,Pulse Gaming Mouse,5,59.99,South,Diego Alvarez,299.95
ORD-920156,2023-07-30,CUST-5184,Quanta Mechanical Keyboard,1,139.5,East,Nina Kapoor,139.5
ORD-920157,2023-08-22,CUST-3042,Aurora Headphones,2,119.99,West,Marco Rossi,239.98
ORD-920158,2023-09-09,CUST-8120,Nimbus Wireless Mouse,3,29.5,North,Grace Park,88.5
ORD-920159,2023-11-17,CUST-6672,Lumen SSD 512GB,4,89.5,South,Omar Faris,358
ORD-102345,2023-01-12,CUST-80421,Aurora Wireless Headphones,2,129.99,North,Maya Singh,259.98
ORD-102346,2023-02-03,CUST-80422,Nimbus Smartwatch,1,199.5,South,Alex Kim,199.5
ORD-102347,2023-02-28,CUST-80423,PulseFit Fitness Band,3,59.99,East,Priya Patel,179.97
ORD-102348,2023-03-15,CUST-80424,Verve Bluetooth Speaker,4,89,West,Liam Chen,356
ORD-102349,2023-04-09,CUST-80425,AeroPro Laptop Sleeve,1,24.5,North,Sophia Martinez,24.5
ORD-102350,2023-05-21,CUST-80426,Nova USB-C Hub,2,44.75,South,Daniel Rodrigues,89.5
ORD-102351,2023-06-11,CUST-80427,ZenBook Keyboard,5,19.99,East,Emma Johnson,99.95
ORD-102352,2023-07-02,CUST-80428,Quanta Wireless Charger,1,29.99,West,Noah Williams,29.99
ORD-102353,2023-08-19,CUST-80429,Vivid Bluetooth Earbuds,2,149,North,Olivia Brown,298
ORD-102354,2023-09-07,CUST-80430,EchoSmart Home Hub,3,129,South,Ethan Rossi,387
ORD-202301-001,2023-01-15,CUST-1001,Aurora Wireless Headphones,3,129.99,North,Maya Chen,389.97
ORD-202302-002,2023-02-07,CUST-1050,Nimbus Portable Speaker,2,89.5,South,Diego Ramirez,179
ORD-202303-003,2023-03-22,CUST-1123,PulseSmart Fitness Band,1,59.99,East,Amina Khan,59.99
ORD-202304-004,2023-04-11,CUST-1188,LumaSmart LED Bulb Pack,5,24.75,West,Chen Wei,123.75
ORD-202305-005,2023-05-19,CUST-1322,Aurora Wireless Headphones,4,129.99,North,Maya Chen,519.96
ORD-202306-006,2023-06-03,CUST-1407,Nimbus Portable Speaker,1,89.5,South,Diego Ramirez,89.5
ORD-202307-007,2023-07-28,CUST-1550,PulseSmart Fitness Band,2,59.99,East,Amina Khan,119.98
ORD-202308-008,2023-08-14,CUST-1644,LumaSmart LED Bulb Pack,3,24.75,West,Chen Wei,74.25
ORD-202309-009,2023-09-09,CUST-1702,Aurora Wireless Headphones,2,129.99,North,Maya Chen,259.98
ORD-202310-010,2023-10-31,CUST-1899,Nimbus Portable Speaker,6,89.5,South,Diego Ramirez,537
ORD-1001,2023-01-15,CUST-501,Wireless Headphones,4,89.99,North,Alex Martinez,359.96
ORD-1002,2023-02-03,CUST-214,Smartwatch,2,199.5,South,Priya Kapoor,399
ORD-1003,2023-02-28,CUST-389,Bluetooth Speaker,6,59.95,East,Jonah Patel,359.7
ORD-1004,2023-03-12,CUST-102,Portable Charger,3,24.99,West,Maria Rossi,74.97
ORD-1005,2023-04-06,CUST-764,USB-C Cable,5,9.99,North,Liam Chen,49.95
ORD-1006,2023-04-22,CUST-431,Wireless Mouse,2,34.5,South,Emma García,69
ORD-1007,2023-05-19,CUST-112,External Hard Drive 1TB,1,79.99,East,Daniel Kim,79.99
ORD-1008,2023-06-07,CUST- wildly,Gaming Keyboard,2,129.99,West,Sofia Rossi,259.98
ORD-1009,2023-07-25,CUST-323,4K Monitor 27-inch,1,349,North,Carlos Mendes,349
ORD-1010,2023-08-30,CUST-907,Noise-Cancelling Earbuds,3,149.99,South,Ava Johansson,449.97
ORD-100001,2023-01-15,CUST-501,Aurora Wireless Headphones,3,129.99,North,Mira Patel,389.97
ORD-100002,2023-02-03,CUST-214,Nimbus Bluetooth Speaker,2,89.5,South,Jon Rivera,179
ORD-100003,2023-03-22,CUST-842,Glacier Smartwatch,1,199,East,Amina Khoury,199
ORD-100004,2023-04-11,CUST-129,Pulse Fitness Band,4,59.99,West,Liam Chen,239.96
ORD-100005,2023-05-30,CUST-367,Vivid Action Camera,2,299,North,Sophie Martin,598
ORD-100006,2023-06-18,CUST-920,Zenbook Ultrabook 13,1,999,South,Carlos Mendes,999
ORD-100007,2023-07-09,CUST-411,Quattro Gaming Mouse,5,49.99,East,Nora Griffith,249.95
ORD-100008,2023-08-27,CUST-688,"Luma 4K Monitor 27""",2,389,West,Priya Singh,778
ORD-100009,2023-09-14,CUST-233,Nebula SSD 1TB,3,149,North,Omar Alvi,447
